Count,Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,87,Nellie Fox,1997,19,1947,1965,15,49.5,2367,10351,9232,1279,2663,355,112,35,790,76,80,719,216,30,175,48,208,0.288,0.348,0.363,0.71
1,88,Jimmie Foxx,1951,20,1925,1945,9,92.3,2317,9677,8134,1751,2646,458,125,534,1922,87,76,1452,1311,133,69,,71,0.325,0.428,0.609,1.038
1,89,Frankie Frisch,1947,19,1919,1937,3,71.8,2311,10101,9112,1532,2880,466,138,105,1244,419,145,728,272,19,55,,229,0.316,0.369,0.432,0.801
1,90,Pud Galvin,1965,15,1875,1892,0,-9.8,731,2788,2748,278,552,87,31,5,220,23,0,38,631,,1,,,0.201,0.212,0.261,0.473
1,91,Lou Gehrig,1939,17,1923,1939,7,113.6,2164,9665,8001,1888,2721,534,163,493,1995,102,100,1508,790,102,2,,106,0.34,0.447,0.632,1.08
1,92,Charlie Gehringer,1949,19,1924,1942,6,84.8,2323,10245,8860,1775,2839,574,146,184,1427,181,90,1186,372,43,27,,141,0.32,0.404,0.48,0.884
1,93,Bob Gibson,1981,17,1959,1975,9,7.5,596,1489,1328,132,274,44,5,24,144,13,10,63,415,0,13,18,72,0.206,0.243,0.301,0.545
1,94,Josh Gibson,1972,14,1930,1946,12,38.6,598,2511,2155,610,806,135,58,165,730,40,,331,,11,1,0,21,0.374,0.458,0.72,1.178
1,95,Tom Glavine,2014,22,1987,2008,10,6.8,688,1645,1323,93,246,25,2,1,90,1,0,101,329,0,14,3,216,0.186,0.244,0.21,0.454
1,96,Lefty Gomez,1972,14,1930,1943,7,-4.5,368,1024,904,59,133,11,0,0,58,1,1,50,252,0,5,,68,0.147,0.194,0.159,0.353
1,97,Joe Gordon,2009,11,1938,1950,9,55.8,1566,6537,5707,914,1530,264,52,253,975,89,60,759,702,87,159,,41,0.268,0.357,0.466,0.822
1,98,Goose Goslin,1968,18,1921,1938,1,66.4,2287,9830,8656,1482,2735,500,173,248,1612,176,89,949,585,51,,,162,0.316,0.387,0.5,0.887
1,99,Rich Gossage,2008,22,1972,1994,9,-0.5,388,93,85,1,9,1,0,0,2,0,0,4,37,0,2,0,4,0.106,0.146,0.118,0.264
1,100,Hank Greenberg,1956,13,1930,1947,5,55.5,1394,6098,5193,1046,1628,379,71,331,1274,58,30,852,844,82,66,,35,0.313,0.412,0.605,1.017
1,101,Ken Griffey Jr.,2016,22,1989,2010,13,83.8,2671,11304,9801,1662,2781,524,38,630,1836,184,69,1312,1779,246,199,102,8,0.284,0.37,0.538,0.907
1,102,Clark Griffith,1946,21,1891,1914,0,3.9,485,1590,1380,202,321,49,17,8,166,22,1,166,126,,,,27,0.233,0.318,0.31,0.628
1,103,Burleigh Grimes,1964,19,1916,1934,0,6.1,632,1687,1535,157,380,62,11,2,168,15,6,69,241,0,1,,76,0.248,0.282,0.306,0.588
1,104,Lefty Grove,1947,17,1925,1941,6,-6.5,619,1580,1369,119,202,27,5,15,121,1,1,105,593,0,1,,103,0.148,0.209,0.207,0.417
1,105,Vladimir Guerrero,2018,16,1996,2011,9,59.5,2147,9059,8155,1328,2590,477,46,449,1496,181,94,737,985,250,277,64,0,0.318,0.379,0.553,0.931
1,106,Tony Gwynn,2007,20,1982,2001,15,69.2,2440,10232,9288,1383,3141,543,85,135,1138,319,125,790,434,203,259,85,45,0.338,0.388,0.459,0.847
1,107,Chick Hafey,1971,13,1924,1937,1,31.2,1283,5116,4625,777,1466,341,67,164,833,70,43,372,477,35,28,,83,0.317,0.372,0.526,0.898
